Element,Source,Field,Type,Description
Student,RPT_ZZ_F_STUDENT,Kpi Met Course Ela,text,Flag indicating whether the student met the ELA course-activity KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Course Mth,text,Flag indicating whether the student met the Math course-activity KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Course Overall,text,Flag indicating whether the student met the overall course-activity KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Crs Act,text,Flag indicating whether the student met the course-activity KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Pass All,text,Flag indicating whether the student met the passing-all-courses KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Pass Ela,text,Flag indicating whether the student met the ELA passing KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Pass Mth,text,Flag indicating whether the student met the Math passing KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Priority Ela,text,Flag indicating whether the student met the ELA priority-intervention KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Priority Mth,text,Flag indicating whether the student met the Math priority-intervention KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Rem Ela,text,Flag indicating whether the student met the ELA remediation KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Kpi Met Rem Mth,text,Flag indicating whether the student met the Math remediation KPI (Yes/No).
Student,RPT_ZZ_F_STUDENT,Main School Id,text,Identifier of the student's primary (home) school.
Student,RPT_ZZ_F_STUDENT,Missed Days Ytd,integer,Number of school days missed year-to-date.
Student,RPT_ZZ_F_STUDENT,Mth Boy to Eoy Growth,integer,Math assessment growth from beginning-of-year to end-of-year.
Student,RPT_ZZ_F_STUDENT,Mth Boy to Moy Growth,integer,Math assessment growth from beginning-of-year to middle-of-year.
Student,RPT_ZZ_F_STUDENT,Mth Cc Att Req Flag,integer,Flag: student is required to attend Math Class Connect (live synchronous) sessions.
Student,RPT_ZZ_F_STUDENT,Mth Cc Hrs Attend Opt L 7 D,number,Hours of optional Math Class Connect sessions attended in the last 7 days.
Student,RPT_ZZ_F_STUDENT,Mth Cc Hrs Attend Req L 7 D,number,Hours of required Math Class Connect sessions attended in the last 7 days.
Student,RPT_ZZ_F_STUDENT,Mth Cc Hrs Invited Req L 7 D,number,Hours of required Math Class Connect sessions the student was invited to in the last 7 days.
Student,RPT_ZZ_F_STUDENT,Mth Course Duration L 7 D,number,Total time spent in Math courses over the last 7 days.
Student,RPT_ZZ_F_STUDENT,Mth Crs Ct,integer,Number of Math courses the student is enrolled in.
Student,RPT_ZZ_F_STUDENT,Mth Grade,number,Current Math course grade (percentage).
Student,RPT_ZZ_F_STUDENT,Mth Grade Quintile,text,Performance quintile (1-5 bucket) of the student's Math grade.
Student,RPT_ZZ_F_STUDENT,Mth Mtss Match,text,Whether the student's assigned Math MTSS tier matches the recommended tier.
Student,RPT_ZZ_F_STUDENT,Mth Mtss Rec,text,Recommended Math MTSS intervention tier for the student based on performance data.
Student,RPT_ZZ_F_STUDENT,Mth Mtss Tier,text,Math MTSS (Multi-Tiered System of Supports) intervention tier assigned to the student.
Student,RPT_ZZ_F_STUDENT,Mth Pass Ct,integer,Number of Math courses the student is passing.
Student,RPT_ZZ_F_STUDENT,Mth Rem Tool,text,Math remediation tool/program assigned to the student.
Student,RPT_ZZ_F_STUDENT,Mth Rem Wkly Time,text,Weekly time spent in Math remediation.
Student,RPT_ZZ_F_STUDENT,New Returning Flag,text,Whether the student is new to the school this year or returning.
Student,RPT_ZZ_F_STUDENT,Pass All Bckt,text,Bucketed category summarizing whether the student is passing all courses.
Student,RPT_ZZ_F_STUDENT,Pass All Flag,integer,Flag: student is passing all enrolled courses (1 = yes).
Student,RPT_ZZ_F_STUDENT,Pass All Flag Ela,integer,Flag: student is passing all ELA courses (1 = yes).
Student,RPT_ZZ_F_STUDENT,Pass All Flag His,integer,Flag: student is passing all History courses (1 = yes).
Student,RPT_ZZ_F_STUDENT,Pass All Flag Mth,integer,Flag: student is passing all Math courses (1 = yes).
Student,RPT_ZZ_F_STUDENT,Pass All Flag Sci,integer,Flag: student is passing all Science courses (1 = yes).
Student,RPT_ZZ_F_STUDENT,Persistence,text,Student persistence status — whether the student remains actively enrolled/engaged.
Student,RPT_ZZ_F_STUDENT,Py Ela Num Prof Levels,integer,Number of proficiency levels in the prior-year ELA state assessment scale.
Student,RPT_ZZ_F_STUDENT,Py Ela Proficiency Level,text,Prior-year ELA state-assessment proficiency level (label).
Student,RPT_ZZ_F_STUDENT,Py Ela Proficiency Number,text,Prior-year ELA proficiency level as a number.
Student,RPT_ZZ_F_STUDENT,Py Ela Proficient Flag,integer,Flag: student was proficient on the prior-year ELA state assessment (1 = proficient).
Student,RPT_ZZ_F_STUDENT,Py Ela Test Date,datetime,Date of the prior-year ELA state assessment.
Student,RPT_ZZ_F_STUDENT,Py Ela Test Name,text,Name of the prior-year ELA state assessment.
Student,RPT_ZZ_F_STUDENT,Py Mth Num Prof Levels,integer,Number of proficiency levels in the prior-year Math state assessment scale.
Student,RPT_ZZ_F_STUDENT,Py Mth Proficiency Level,text,Prior-year Math state-assessment proficiency level (label).
Student,RPT_ZZ_F_STUDENT,Py Mth Proficiency Number,text,Prior-year Math proficiency level as a number.
Student,RPT_ZZ_F_STUDENT,Py Mth Proficient Flag,integer,Flag: student was proficient on the prior-year Math state assessment (1 = proficient).
Student,RPT_ZZ_F_STUDENT,Py Mth Test Date,datetime,Date of the prior-year Math state assessment.
Student,RPT_ZZ_F_STUDENT,Py Mth Test Name,text,Name of the prior-year Math state assessment.
Student,RPT_ZZ_F_STUDENT,Rem Wk Range,text,Bucketed weekly range of remediation time.
Student,RPT_ZZ_F_STUDENT,Report Date,datetime,Date of the reporting snapshot for this record.
Student,RPT_ZZ_F_STUDENT,School Entry Date,datetime,Date the student entered the school.
Student,RPT_ZZ_F_STUDENT,School of Record,text,The school officially responsible for the student's record and reporting.
Student,RPT_ZZ_F_STUDENT,School Start Date,datetime,Start date of the student's current school enrollment.
Student,RPT_ZZ_F_STUDENT,School Student Key,integer,Surrogate key uniquely identifying a student–school–snapshot record; the primary grain of the model and the key used for distinct student counts.
Student,RPT_ZZ_F_STUDENT,School Year,text,"Academic year of the record (e.g., 2025-2026)."
Student,RPT_ZZ_F_STUDENT,School Year Start Date,datetime,Start date of the academic year.
Student,RPT_ZZ_F_STUDENT,Slicer Date,text,Date value used to drive date slicer/parameter selection in downstream reports.
Student,RPT_ZZ_F_STUDENT,Start Status,text,Student's enrollment start status for the term/year.
Student,RPT_ZZ_F_STUDENT,Student Identity Id,text,Stable unique identifier for the student across schools and years.
Student,RPT_ZZ_F_STUDENT,Student Short Name,text,Student's abbreviated/display name.
Student,RPT_ZZ_F_STUDENT,Total Course Duration L 7 D,number,Total time spent in courses over the last 7 days.
Student,RPT_ZZ_F_STUDENT,Ytd Avg Days Course Act,text,Year-to-date average number of days with course activity.
Student,RPT_DT_D_SCHOOL,School Type,text,"Type of school (e.g., online public, private)."
Student,RPT_DT_D_ETHNICITY,Standardized Ethnicity,text,Student's ethnicity mapped to a standardized category.
Student,RPT_DT_D_STUDENT_DEMOGRAPHICS,Standardized Ethnicity (RPT_DT_D_STUDENT_DEMOGRAPHICS),text,Student's ethnicity mapped to a standardized category.
Student,RPT_DT_D_STUDENT_DEMOGRAPHICS,Sams Student Id,text,Student's identifier in the SAMS student administration system.
Student,RPT_DT_D_SCHOOL,School Group,text,"Grouping the school belongs to (e.g., management group)."
Student,RPT_DT_D_STUDENT_DEMOGRAPHICS,School Student Key (RPT_DT_D_STUDENT_DEMOGRAPHICS),integer,Surrogate key uniquely identifying a student–school–snapshot record; the primary grain of the model and the key used for distinct student counts.
Student,(calculated),User (RLS Table),text,"Reference to the authorized user (email) from the RLS security table, used to evaluate row visibility."
Student,RPT_DT_D_STUDENT_DEMOGRAPHICS,Main School Id (RPT_DT_D_STUDENT_DEMOGRAPHICS),text,Identifier of the student's primary (home) school.
Student,RPT_DT_D_SCHOOL,State,text,U.S. state of the school.
Student,(calculated),RLSFlag,text,Row-level-security flag (computed): 'true' when the current user is permitted to see this student's row (member of AIM team or matched via the RLS table).
Student,RPT_DT_D_SCHOOL,SUPPORT_TIER,error,School support tier. NOTE: this column is currently an unresolved reference (source column RPT_DT_D_SCHOOL.SUPPORT_TIER is missing) and must be repointed before it will populate.
