Demand_Month,Region,Material_ID,Material_Name,Category,UOM,Historical_Usage_Qty,Open_Project_Demand_Qty,Seasonality_Index,Trend_Index,Forecast_Need_Qty,Safety_Stock_Qty,Total_Required_Qty,Available_Qty,Projected_Shortage_Qty,Projected_Shortage_Cost_$,Current_Unit_Cost_$,Forecast_Scenario
2022-12-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,155,61,0.85,1.116,205,41,246,290,0,0,2470,Base
2023-01-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,171,76,0.87,1.127,242,48,290,368,0,0,2470,Base
2023-02-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,191,15,0.92,1.138,216,43,259,250,9,22230,2470,Base
2023-03-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,197,29,1.0,1.149,260,52,312,270,42,103740,2470,Base
2023-04-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,219,35,1.08,1.161,318,64,382,501,0,0,2470,Base
2023-05-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,271,31,1.13,1.173,400,80,480,506,0,0,2470,Base
2023-06-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,221,95,1.15,1.184,430,86,516,691,0,0,2470,Base
2023-07-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,264,111,1.13,1.196,507,101,608,880,0,0,2470,Base
2023-08-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,190,50,1.08,1.208,313,63,376,365,11,27170,2470,Base
2023-09-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,235,104,1.0,1.22,414,83,497,552,0,0,2470,Base
2023-10-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,218,15,0.92,1.232,264,53,317,444,0,0,2470,Base
2023-11-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,178,39,0.87,1.245,235,47,282,380,0,0,2470,Base
2023-12-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,197,10,0.85,1.257,221,44,265,366,0,0,2470,Base
2024-01-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,216,72,0.87,1.27,318,64,382,483,0,0,2470,Base
2024-02-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,219,26,0.92,1.282,289,58,347,447,0,0,2470,Base
2024-03-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,203,32,1.0,1.295,304,61,365,415,0,0,2470,Base
2024-04-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,228,73,1.08,1.308,425,85,510,453,57,140790,2470,Base
2024-05-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,267,52,1.13,1.321,476,95,571,619,0,0,2470,Base
2024-06-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,224,46,1.15,1.335,414,83,497,462,35,86450,2470,Base
2024-07-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,269,109,1.13,1.348,576,115,691,868,0,0,2470,Base
2024-08-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,214,70,1.08,1.361,418,84,502,726,0,0,2470,Base
2024-09-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,239,36,1.0,1.375,378,76,454,567,0,0,2470,Base
2024-10-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,163,27,0.92,1.389,243,49,292,401,0,0,2470,Base
2024-11-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,151,66,0.87,1.403,265,53,318,428,0,0,2470,Base
2024-12-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,217,91,0.85,1.417,371,74,445,579,0,0,2470,Base
2025-01-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,212,87,0.87,1.431,372,74,446,429,17,41990,2470,Base
2025-02-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,225,47,0.92,1.445,362,72,434,539,0,0,2470,Base
2025-03-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,251,87,1.0,1.46,493,99,592,765,0,0,2470,Base
2025-04-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,224,61,1.08,1.474,454,91,545,663,0,0,2470,Base
2025-05-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,220,35,1.13,1.489,429,86,515,524,0,0,2470,Base
2025-06-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,208,86,1.15,1.504,508,102,610,547,63,155610,2470,Base
2025-07-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,240,87,1.13,1.519,561,112,673,678,0,0,2470,Base
2025-08-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,204,60,1.08,1.534,437,87,524,522,2,4940,2470,Base
2025-09-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,250,81,1.0,1.549,513,103,616,861,0,0,2470,Base
2025-10-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,157,48,0.92,1.565,295,59,354,509,0,0,2470,Base
2025-11-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,159,22,0.87,1.58,249,50,299,428,0,0,2470,Base
2025-12-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,162,57,0.85,1.596,297,59,356,419,0,0,2470,Base
2026-01-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,163,49,0.87,1.612,297,59,356,405,0,0,2470,Base
2026-02-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,174,59,0.92,1.628,349,70,419,548,0,0,2470,Base
2026-03-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,226,53,1.0,1.645,459,92,551,487,64,158080,2470,Base
2026-04-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,214,74,1.08,1.661,517,103,620,658,0,0,2470,Base
2026-05-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,251,78,1.13,1.678,624,125,749,984,0,0,2470,Base
2026-06-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,283,47,1.15,1.694,643,129,772,810,0,0,2470,Base
2026-07-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,250,101,1.13,1.711,679,136,815,810,5,12350,2470,Base
2026-08-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,247,30,1.08,1.729,517,103,620,824,0,0,2470,Base
2026-09-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,201,18,1.0,1.746,382,76,458,459,0,0,2470,Base
2026-10-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,169,43,0.92,1.763,344,69,413,358,55,135850,2470,Base
2026-11-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,172,18,0.87,1.781,294,59,353,321,32,79040,2470,Base
2026-12-01,South,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,214,12,0.85,1.799,346,69,415,434,0,0,2470,Base
2022-01-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,248,106,0.87,1.0,308,62,370,337,33,81510,2470,Base
2022-02-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,228,98,0.92,1.01,303,61,364,404,0,0,2470,Base
2022-03-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,266,119,1.0,1.02,393,79,472,644,0,0,2470,Base
2022-04-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,333,142,1.08,1.03,529,106,635,865,0,0,2470,Base
2022-05-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,328,44,1.13,1.041,437,87,524,683,0,0,2470,Base
2022-06-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,320,56,1.15,1.051,454,91,545,631,0,0,2470,Base
2022-07-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,354,95,1.13,1.062,539,108,647,829,0,0,2470,Base
2022-08-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,314,109,1.08,1.072,490,98,588,794,0,0,2470,Base
2022-09-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,287,28,1.0,1.083,341,68,409,412,0,0,2470,Base
2022-10-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,219,54,0.92,1.094,275,55,330,356,0,0,2470,Base
2022-11-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,199,30,0.87,1.105,220,44,264,287,0,0,2470,Base
2022-12-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,274,34,0.85,1.116,292,58,350,413,0,0,2470,Base
2023-01-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,246,72,0.87,1.127,312,62,374,322,52,128440,2470,Base
2023-02-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,241,64,0.92,1.138,319,64,383,534,0,0,2470,Base
2023-03-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,281,120,1.0,1.149,461,92,553,705,0,0,2470,Base
2023-04-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,242,31,1.08,1.161,342,68,410,559,0,0,2470,Base
2023-05-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,346,47,1.13,1.173,521,104,625,674,0,0,2470,Base
2023-06-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,277,112,1.15,1.184,530,106,636,849,0,0,2470,Base
2023-07-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,344,62,1.13,1.196,549,110,659,748,0,0,2470,Base
2023-08-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,297,94,1.08,1.208,510,102,612,845,0,0,2470,Base
2023-09-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,247,100,1.0,1.22,423,85,508,459,49,121030,2470,Base
2023-10-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,203,47,0.92,1.232,283,57,340,489,0,0,2470,Base
2023-11-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,266,111,0.87,1.245,408,82,490,453,37,91390,2470,Base
2023-12-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,201,15,0.85,1.257,231,46,277,275,2,4940,2470,Base
2024-01-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,194,34,0.87,1.27,252,50,302,273,29,71630,2470,Base
2024-02-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,275,45,0.92,1.282,378,76,454,515,0,0,2470,Base
2024-03-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,255,104,1.0,1.295,465,93,558,639,0,0,2470,Base
2024-04-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,280,78,1.08,1.308,506,101,607,745,0,0,2470,Base
2024-05-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,276,100,1.13,1.321,561,112,673,849,0,0,2470,Base
2024-06-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,357,33,1.15,1.335,599,120,719,975,0,0,2470,Base
2024-07-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,282,53,1.13,1.348,510,102,612,567,45,111150,2470,Base
2024-08-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,259,99,1.08,1.361,526,105,631,610,21,51870,2470,Base
2024-09-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,251,14,1.0,1.375,364,73,437,405,32,79040,2470,Base
2024-10-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,220,23,0.92,1.389,310,62,372,422,0,0,2470,Base
2024-11-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,219,34,0.87,1.403,309,62,371,420,0,0,2470,Base
2024-12-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,192,53,0.85,1.417,295,59,354,338,16,39520,2470,Base
2025-01-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,204,73,0.87,1.431,345,69,414,384,30,74100,2470,Base
2025-02-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,242,64,0.92,1.445,407,81,488,512,0,0,2470,Base
2025-03-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,313,37,1.0,1.46,511,102,613,598,15,37050,2470,Base
2025-04-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,241,26,1.08,1.474,425,85,510,577,0,0,2470,Base
2025-05-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,272,69,1.13,1.489,574,115,689,924,0,0,2470,Base
2025-06-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,363,128,1.15,1.504,849,170,1019,1051,0,0,2470,Base
2025-07-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,355,77,1.13,1.519,741,148,889,846,43,106210,2470,Base
2025-08-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,314,44,1.08,1.534,593,119,712,796,0,0,2470,Base
2025-09-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,243,49,1.0,1.549,452,90,542,497,45,111150,2470,Base
2025-10-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,242,23,0.92,1.565,382,76,458,454,4,9880,2470,Base
2025-11-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,209,33,0.87,1.58,333,67,400,515,0,0,2470,Base
2025-12-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,197,74,0.85,1.596,368,74,442,575,0,0,2470,Base
2026-01-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,225,51,0.87,1.612,387,77,464,576,0,0,2470,Base
2026-02-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,257,80,0.92,1.628,505,101,606,679,0,0,2470,Base
2026-03-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,256,47,1.0,1.645,498,100,598,516,82,202540,2470,Base
2026-04-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,306,34,1.08,1.661,610,122,732,1057,0,0,2470,Base
2026-05-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,282,80,1.13,1.678,686,137,823,1164,0,0,2470,Base
2026-06-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,293,80,1.15,1.694,727,145,872,1094,0,0,2470,Base
2026-07-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,343,83,1.13,1.711,824,165,989,1431,0,0,2470,Base
2026-08-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,338,34,1.08,1.729,694,139,833,867,0,0,2470,Base
2026-09-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,252,103,1.0,1.746,620,124,744,728,16,39520,2470,Base
2026-10-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,257,85,0.92,1.763,555,111,666,760,0,0,2470,Base
2026-11-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,215,48,0.87,1.781,407,81,488,697,0,0,2470,Base
2026-12-01,East,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,190,56,0.85,1.799,376,75,451,452,0,0,2470,Base
2022-01-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,225,52,0.87,1.0,241,48,289,251,38,93860,2470,Base
2022-02-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,189,45,0.92,1.01,217,43,260,352,0,0,2470,Base
2022-03-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,229,42,1.0,1.02,276,55,331,382,0,0,2470,Base
2022-04-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,254,60,1.08,1.03,349,70,419,396,23,56810,2470,Base
2022-05-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,233,20,1.13,1.041,297,59,356,387,0,0,2470,Base
2022-06-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,228,65,1.15,1.051,354,71,425,435,0,0,2470,Base
2022-07-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,251,100,1.13,1.062,421,84,505,451,54,133380,2470,Base
2022-08-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,301,48,1.08,1.072,404,81,485,629,0,0,2470,Base
2022-09-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,247,71,1.0,1.083,344,69,413,443,0,0,2470,Base
2022-10-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,207,75,0.92,1.094,284,57,341,435,0,0,2470,Base
2022-11-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,168,25,0.87,1.105,185,37,222,246,0,0,2470,Base
2022-12-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,209,24,0.85,1.116,221,44,265,305,0,0,2470,Base
2023-01-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,172,43,0.87,1.127,211,42,253,340,0,0,2470,Base
2023-02-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,221,40,0.92,1.138,273,55,328,433,0,0,2470,Base
2023-03-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,260,61,1.0,1.149,369,74,443,555,0,0,2470,Base
2023-04-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,247,107,1.08,1.161,444,89,533,504,29,71630,2470,Base
2023-05-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,245,86,1.13,1.173,439,88,527,603,0,0,2470,Base
2023-06-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,222,33,1.15,1.184,347,69,416,591,0,0,2470,Base
2023-07-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,216,78,1.13,1.196,397,79,476,643,0,0,2470,Base
2023-08-01,West,MAT-01001,Composite Utility Pole — Type 01,Structures,Each,248,85,1.08,1.208,434,87,521,609,0,0,2470,Base
