Material_ID,Material_Name,Material_Archetype,Category,UOM,Current_Unit_Cost_$,Criticality
MAT-01194,Crossarm Assembly — Type 17,Crossarm Assembly,Structures,Each,406,Low
MAT-01195,15 kV Cable — Type 17,15 kV Cable,Conductor,Foot,12,Low
MAT-01196,35 kV Cable — Type 17,35 kV Cable,Conductor,Foot,29,Low
MAT-01197,Pad-Mount Transformer 500 kVA — Type 17,Pad-Mount Transformer 500 kVA,Transformers,Each,29716,Critical
MAT-01198,Pole-Mount Transformer 50 kVA — Type 17,Pole-Mount Transformer 50 kVA,Transformers,Each,5986,Low
MAT-01199,Recloser Control Package — Type 17,Recloser Control Package,Protection,Each,15553,High
MAT-01200,Switchgear Cabinet — Type 17,Switchgear Cabinet,Protection,Each,18732,High
MAT-01201,Smart Meter — Type 17,Smart Meter,Metering,Each,168,Medium
MAT-01202,Communication Gateway — Type 17,Communication Gateway,Communications,Each,1031,Medium
MAT-01203,Grounding Kit — Type 17,Grounding Kit,Accessories,Kit,154,Critical
MAT-01204,Connector Set — Type 17,Connector Set,Accessories,Kit,71,Critical
MAT-01205,Composite Utility Pole — Type 18,Composite Utility Pole,Structures,Each,1792,Critical
MAT-01206,Crossarm Assembly — Type 18,Crossarm Assembly,Structures,Each,399,Low
MAT-01207,15 kV Cable — Type 18,15 kV Cable,Conductor,Foot,11,Low
MAT-01208,35 kV Cable — Type 18,35 kV Cable,Conductor,Foot,22,Medium
MAT-01209,Pad-Mount Transformer 500 kVA — Type 18,Pad-Mount Transformer 500 kVA,Transformers,Each,31564,Critical
MAT-01210,Pole-Mount Transformer 50 kVA — Type 18,Pole-Mount Transformer 50 kVA,Transformers,Each,6798,Low
MAT-01211,Recloser Control Package — Type 18,Recloser Control Package,Protection,Each,14324,Medium
MAT-01212,Switchgear Cabinet — Type 18,Switchgear Cabinet,Protection,Each,22328,Critical
MAT-01213,Smart Meter — Type 18,Smart Meter,Metering,Each,165,Critical
MAT-01214,Communication Gateway — Type 18,Communication Gateway,Communications,Each,1093,Low
MAT-01215,Grounding Kit — Type 18,Grounding Kit,Accessories,Kit,119,Critical
MAT-01216,Connector Set — Type 18,Connector Set,Accessories,Kit,61,Medium
MAT-01217,Composite Utility Pole — Type 19,Composite Utility Pole,Structures,Each,2678,Medium
MAT-01218,Crossarm Assembly — Type 19,Crossarm Assembly,Structures,Each,536,Medium
MAT-01219,15 kV Cable — Type 19,15 kV Cable,Conductor,Foot,12,Low
MAT-01220,35 kV Cable — Type 19,35 kV Cable,Conductor,Foot,32,Low
MAT-01221,Pad-Mount Transformer 500 kVA — Type 19,Pad-Mount Transformer 500 kVA,Transformers,Each,26933,High
MAT-01222,Pole-Mount Transformer 50 kVA — Type 19,Pole-Mount Transformer 50 kVA,Transformers,Each,7671,Low
MAT-01223,Recloser Control Package — Type 19,Recloser Control Package,Protection,Each,13443,Medium
MAT-01224,Switchgear Cabinet — Type 19,Switchgear Cabinet,Protection,Each,20706,High
MAT-01225,Smart Meter — Type 19,Smart Meter,Metering,Each,125,Critical
MAT-01226,Communication Gateway — Type 19,Communication Gateway,Communications,Each,1091,Medium
MAT-01227,Grounding Kit — Type 19,Grounding Kit,Accessories,Kit,147,Critical
MAT-01228,Connector Set — Type 19,Connector Set,Accessories,Kit,67,Medium
MAT-01229,Composite Utility Pole — Type 20,Composite Utility Pole,Structures,Each,2049,Medium
MAT-01230,Crossarm Assembly — Type 20,Crossarm Assembly,Structures,Each,493,Low
MAT-01231,15 kV Cable — Type 20,15 kV Cable,Conductor,Foot,13,Low
MAT-01232,35 kV Cable — Type 20,35 kV Cable,Conductor,Foot,33,Low
MAT-01233,Pad-Mount Transformer 500 kVA — Type 20,Pad-Mount Transformer 500 kVA,Transformers,Each,27286,Critical
MAT-01234,Pole-Mount Transformer 50 kVA — Type 20,Pole-Mount Transformer 50 kVA,Transformers,Each,6221,Low
MAT-01235,Recloser Control Package — Type 20,Recloser Control Package,Protection,Each,16098,Medium
MAT-01236,Switchgear Cabinet — Type 20,Switchgear Cabinet,Protection,Each,17255,High
MAT-01237,Smart Meter — Type 20,Smart Meter,Metering,Each,181,High
MAT-01238,Communication Gateway — Type 20,Communication Gateway,Communications,Each,1073,Low
MAT-01239,Grounding Kit — Type 20,Grounding Kit,Accessories,Kit,123,Critical
MAT-01240,Connector Set — Type 20,Connector Set,Accessories,Kit,86,High
MAT-01241,Composite Utility Pole — Type 21,Composite Utility Pole,Structures,Each,2183,High
MAT-01242,Crossarm Assembly — Type 21,Crossarm Assembly,Structures,Each,484,Medium
MAT-01243,15 kV Cable — Type 21,15 kV Cable,Conductor,Foot,14,Low
MAT-01244,35 kV Cable — Type 21,35 kV Cable,Conductor,Foot,31,Low
MAT-01245,Pad-Mount Transformer 500 kVA — Type 21,Pad-Mount Transformer 500 kVA,Transformers,Each,27935,Critical
MAT-01246,Pole-Mount Transformer 50 kVA — Type 21,Pole-Mount Transformer 50 kVA,Transformers,Each,7892,Medium
MAT-01247,Recloser Control Package — Type 21,Recloser Control Package,Protection,Each,16784,High
MAT-01248,Switchgear Cabinet — Type 21,Switchgear Cabinet,Protection,Each,16663,High
MAT-01249,Smart Meter — Type 21,Smart Meter,Metering,Each,171,Critical
MAT-01250,Communication Gateway — Type 21,Communication Gateway,Communications,Each,1013,Medium
MAT-01251,Grounding Kit — Type 21,Grounding Kit,Accessories,Kit,131,Critical
MAT-01252,Connector Set — Type 21,Connector Set,Accessories,Kit,73,Medium
MAT-01253,Composite Utility Pole — Type 22,Composite Utility Pole,Structures,Each,2615,Medium
MAT-01254,Crossarm Assembly — Type 22,Crossarm Assembly,Structures,Each,416,Low
MAT-01255,15 kV Cable — Type 22,15 kV Cable,Conductor,Foot,10,Medium
MAT-01256,35 kV Cable — Type 22,35 kV Cable,Conductor,Foot,32,Medium
MAT-01257,Pad-Mount Transformer 500 kVA — Type 22,Pad-Mount Transformer 500 kVA,Transformers,Each,30164,Critical
MAT-01258,Pole-Mount Transformer 50 kVA — Type 22,Pole-Mount Transformer 50 kVA,Transformers,Each,5753,Low
MAT-01259,Recloser Control Package — Type 22,Recloser Control Package,Protection,Each,17614,Critical
MAT-01260,Switchgear Cabinet — Type 22,Switchgear Cabinet,Protection,Each,21499,High
MAT-01261,Smart Meter — Type 22,Smart Meter,Metering,Each,146,High
MAT-01262,Communication Gateway — Type 22,Communication Gateway,Communications,Each,911,Medium
MAT-01263,Grounding Kit — Type 22,Grounding Kit,Accessories,Kit,127,Critical
MAT-01264,Connector Set — Type 22,Connector Set,Accessories,Kit,74,Medium
MAT-01265,Composite Utility Pole — Type 23,Composite Utility Pole,Structures,Each,1987,Critical
MAT-01266,Crossarm Assembly — Type 23,Crossarm Assembly,Structures,Each,361,Low
MAT-01267,15 kV Cable — Type 23,15 kV Cable,Conductor,Foot,14,Low
MAT-01268,35 kV Cable — Type 23,35 kV Cable,Conductor,Foot,26,Medium
MAT-01269,Pad-Mount Transformer 500 kVA — Type 23,Pad-Mount Transformer 500 kVA,Transformers,Each,22956,High
MAT-01270,Pole-Mount Transformer 50 kVA — Type 23,Pole-Mount Transformer 50 kVA,Transformers,Each,7083,Medium
MAT-01271,Recloser Control Package — Type 23,Recloser Control Package,Protection,Each,14507,Medium
MAT-01272,Switchgear Cabinet — Type 23,Switchgear Cabinet,Protection,Each,16754,High
MAT-01273,Smart Meter — Type 23,Smart Meter,Metering,Each,123,High
MAT-01274,Communication Gateway — Type 23,Communication Gateway,Communications,Each,1008,Low
MAT-01275,Grounding Kit — Type 23,Grounding Kit,Accessories,Kit,127,Critical
MAT-01276,Connector Set — Type 23,Connector Set,Accessories,Kit,79,Critical
MAT-01277,Composite Utility Pole — Type 24,Composite Utility Pole,Structures,Each,1997,High
MAT-01278,Crossarm Assembly — Type 24,Crossarm Assembly,Structures,Each,407,Low
MAT-01279,15 kV Cable — Type 24,15 kV Cable,Conductor,Foot,13,Low
MAT-01280,35 kV Cable — Type 24,35 kV Cable,Conductor,Foot,30,Low
MAT-01281,Pad-Mount Transformer 500 kVA — Type 24,Pad-Mount Transformer 500 kVA,Transformers,Each,24207,High
MAT-01282,Pole-Mount Transformer 50 kVA — Type 24,Pole-Mount Transformer 50 kVA,Transformers,Each,7578,Low
MAT-01283,Recloser Control Package — Type 24,Recloser Control Package,Protection,Each,15635,High
MAT-01284,Switchgear Cabinet — Type 24,Switchgear Cabinet,Protection,Each,19411,Critical
MAT-01285,Smart Meter — Type 24,Smart Meter,Metering,Each,185,Medium
MAT-01286,Communication Gateway — Type 24,Communication Gateway,Communications,Each,1210,Medium
MAT-01287,Grounding Kit — Type 24,Grounding Kit,Accessories,Kit,118,High
MAT-01288,Connector Set — Type 24,Connector Set,Accessories,Kit,76,Medium
MAT-01289,Composite Utility Pole — Type 25,Composite Utility Pole,Structures,Each,2217,Medium
MAT-01290,Crossarm Assembly — Type 25,Crossarm Assembly,Structures,Each,530,Low
MAT-01291,15 kV Cable — Type 25,15 kV Cable,Conductor,Foot,10,Low
MAT-01292,35 kV Cable — Type 25,35 kV Cable,Conductor,Foot,28,Low
MAT-01293,Pad-Mount Transformer 500 kVA — Type 25,Pad-Mount Transformer 500 kVA,Transformers,Each,25058,Critical
MAT-01294,Pole-Mount Transformer 50 kVA — Type 25,Pole-Mount Transformer 50 kVA,Transformers,Each,6181,Low
MAT-01295,Recloser Control Package — Type 25,Recloser Control Package,Protection,Each,16547,Critical
MAT-01296,Switchgear Cabinet — Type 25,Switchgear Cabinet,Protection,Each,19025,Medium
MAT-01297,Smart Meter — Type 25,Smart Meter,Metering,Each,119,High
MAT-01298,Communication Gateway — Type 25,Communication Gateway,Communications,Each,804,Medium
MAT-01299,Grounding Kit — Type 25,Grounding Kit,Accessories,Kit,136,Critical
MAT-01300,Connector Set — Type 25,Connector Set,Accessories,Kit,80,High
MAT-01301,Composite Utility Pole — Type 26,Composite Utility Pole,Structures,Each,1973,High
MAT-01302,Crossarm Assembly — Type 26,Crossarm Assembly,Structures,Each,437,Low
MAT-01303,15 kV Cable — Type 26,15 kV Cable,Conductor,Foot,11,Low
MAT-01304,35 kV Cable — Type 26,35 kV Cable,Conductor,Foot,23,Medium
