Subproject_ID,Project_ID,Material_ID,Required_Date,Estimated_Qty,Reserved_Qty,Issued_Qty,Forecast_Unit_Cost_$,Forecast_Material_Cost_$,Availability_Status,Lead_Time_Risk,Need_By_Quarter
PRJ-000003-SP05,PRJ-000003,MAT-1003,2026-08-01,1767,528,516,12,21204,Partial,At Risk,Q3 2026
PRJ-000003-SP06,PRJ-000003,MAT-1010,2027-12-01,73,71,20,980,71540,Partial,Within Lead Time,Q4 2027
PRJ-000004-SP01,PRJ-000004,MAT-1009,2028-04-01,30,12,7,145,4350,Partial,Within Lead Time,Q2 2028
PRJ-000004-SP02,PRJ-000004,MAT-1007,2028-10-01,6,2,2,14500,87000,Partial,Within Lead Time,Q4 2028
PRJ-000004-SP03,PRJ-000004,MAT-1010,2028-07-01,39,1,0,980,38220,Partial,Within Lead Time,Q3 2028
PRJ-000004-SP04,PRJ-000004,MAT-1008,2026-09-01,23,10,8,19000,437000,Partial,At Risk,Q3 2026
PRJ-000004-SP05,PRJ-000004,MAT-1003,2028-08-01,7221,717,61,12,86652,Partial,Within Lead Time,Q3 2028
PRJ-000004-SP06,PRJ-000004,MAT-1007,2028-05-01,9,2,1,14500,130500,Partial,Within Lead Time,Q2 2028
PRJ-000004-SP07,PRJ-000004,MAT-1010,2028-11-01,22,14,12,980,21560,Partial,Within Lead Time,Q4 2028
PRJ-000004-SP08,PRJ-000004,MAT-1011,2026-10-01,79,44,3,130,10270,Partial,Within Lead Time,Q4 2026
PRJ-000005-SP01,PRJ-000005,MAT-1007,2028-02-01,60,25,7,14500,870000,Partial,Within Lead Time,Q1 2028
PRJ-000005-SP02,PRJ-000005,MAT-1002,2028-07-01,22,22,20,420,9240,Partial,Within Lead Time,Q3 2028
PRJ-000005-SP03,PRJ-000005,MAT-1004,2027-11-01,1842,1068,651,27,49734,Partial,Within Lead Time,Q4 2027
PRJ-000005-SP04,PRJ-000005,MAT-1002,2027-06-01,30,2,1,420,12600,Partial,Within Lead Time,Q2 2027
PRJ-000005-SP05,PRJ-000005,MAT-1011,2029-01-01,48,34,28,130,6240,Partial,Within Lead Time,Q1 2029
PRJ-000005-SP06,PRJ-000005,MAT-1008,2026-07-01,16,8,5,19000,304000,Partial,At Risk,Q3 2026
PRJ-000006-SP01,PRJ-000006,MAT-1011,2027-02-01,41,12,2,130,5330,Partial,Within Lead Time,Q1 2027
PRJ-000006-SP02,PRJ-000006,MAT-1004,2026-04-01,5357,2170,737,27,144639,Partial,At Risk,Q2 2026
PRJ-000006-SP03,PRJ-000006,MAT-1002,2027-10-01,59,50,41,420,24780,Partial,Within Lead Time,Q4 2027
PRJ-000006-SP04,PRJ-000006,MAT-1004,2028-11-01,8608,8302,6051,27,232416,Partial,Within Lead Time,Q4 2028
PRJ-000006-SP05,PRJ-000006,MAT-1011,2028-07-01,31,26,25,130,4030,Partial,Within Lead Time,Q3 2028
PRJ-000006-SP06,PRJ-000006,MAT-1004,2028-10-01,5384,5141,4761,27,145368,Partial,Within Lead Time,Q4 2028
PRJ-000006-SP07,PRJ-000006,MAT-1006,2026-03-01,26,13,12,6200,161200,Partial,At Risk,Q1 2026
PRJ-000007-SP01,PRJ-000007,MAT-1007,2028-10-01,63,56,7,14500,913500,Partial,Within Lead Time,Q4 2028
PRJ-000007-SP02,PRJ-000007,MAT-1010,2028-05-01,5,3,3,980,4900,Partial,Within Lead Time,Q2 2028
PRJ-000007-SP03,PRJ-000007,MAT-1009,2026-12-01,27,9,9,145,3915,Partial,Within Lead Time,Q4 2026
PRJ-000007-SP04,PRJ-000007,MAT-1001,2028-04-01,52,23,11,2100,109200,Partial,Within Lead Time,Q2 2028
PRJ-000007-SP05,PRJ-000007,MAT-1012,2027-01-01,70,68,6,68,4760,Partial,Within Lead Time,Q1 2027
PRJ-000007-SP06,PRJ-000007,MAT-1003,2028-06-01,8647,8605,791,12,103764,Partial,Within Lead Time,Q2 2028
PRJ-000007-SP07,PRJ-000007,MAT-1012,2026-08-01,47,41,7,68,3196,Partial,At Risk,Q3 2026
PRJ-000008-SP01,PRJ-000008,MAT-1004,2026-03-01,3000,2583,1763,27,81000,Partial,At Risk,Q1 2026
PRJ-000008-SP02,PRJ-000008,MAT-1009,2027-12-01,25,22,18,145,3625,Partial,Within Lead Time,Q4 2027
PRJ-000008-SP03,PRJ-000008,MAT-1004,2028-07-01,7855,4250,3150,27,212085,Partial,Within Lead Time,Q3 2028
PRJ-000009-SP01,PRJ-000009,MAT-1007,2028-07-01,50,5,2,14500,725000,Partial,Within Lead Time,Q3 2028
PRJ-000009-SP02,PRJ-000009,MAT-1011,2028-03-01,37,17,13,130,4810,Partial,Within Lead Time,Q1 2028
PRJ-000010-SP01,PRJ-000010,MAT-1010,2028-07-01,20,6,4,980,19600,Partial,Within Lead Time,Q3 2028
PRJ-000010-SP02,PRJ-000010,MAT-1002,2028-02-01,5,5,0,420,2100,Partial,Within Lead Time,Q1 2028
PRJ-000010-SP03,PRJ-000010,MAT-1008,2026-01-01,73,22,17,19000,1387000,Partial,At Risk,Q1 2026
PRJ-000010-SP04,PRJ-000010,MAT-1007,2028-04-01,30,22,18,14500,435000,Partial,Within Lead Time,Q2 2028
PRJ-000011-SP01,PRJ-000011,MAT-1002,2028-09-01,77,45,22,420,32340,Partial,Within Lead Time,Q3 2028
PRJ-000011-SP02,PRJ-000011,MAT-1008,2026-04-01,42,39,30,19000,798000,Partial,At Risk,Q2 2026
PRJ-000011-SP03,PRJ-000011,MAT-1004,2029-01-01,1696,689,410,27,45792,Partial,Within Lead Time,Q1 2029
PRJ-000012-SP01,PRJ-000012,MAT-1006,2028-01-01,68,30,26,6200,421600,Partial,Within Lead Time,Q1 2028
PRJ-000012-SP02,PRJ-000012,MAT-1002,2027-01-01,20,16,1,420,8400,Partial,Within Lead Time,Q1 2027
PRJ-000012-SP03,PRJ-000012,MAT-1012,2027-11-01,75,49,11,68,5100,Partial,Within Lead Time,Q4 2027
PRJ-000012-SP04,PRJ-000012,MAT-1002,2027-04-01,6,5,5,420,2520,Partial,Within Lead Time,Q2 2027
PRJ-000012-SP05,PRJ-000012,MAT-1008,2027-12-01,19,11,5,19000,361000,Partial,Within Lead Time,Q4 2027
PRJ-000012-SP06,PRJ-000012,MAT-1012,2028-02-01,27,11,7,68,1836,Partial,Within Lead Time,Q1 2028
PRJ-000012-SP07,PRJ-000012,MAT-1006,2026-06-01,78,54,2,6200,483600,Partial,At Risk,Q2 2026
PRJ-000012-SP08,PRJ-000012,MAT-1006,2028-05-01,47,32,22,6200,291400,Partial,Within Lead Time,Q2 2028
PRJ-000013-SP01,PRJ-000013,MAT-1004,2029-01-01,5655,5431,1521,27,152685,Partial,Within Lead Time,Q1 2029
PRJ-000013-SP02,PRJ-000013,MAT-1010,2027-07-01,14,7,7,980,13720,Partial,Within Lead Time,Q3 2027
PRJ-000013-SP03,PRJ-000013,MAT-1008,2026-06-01,79,36,26,19000,1501000,Partial,At Risk,Q2 2026
PRJ-000013-SP04,PRJ-000013,MAT-1011,2028-08-01,66,34,11,130,8580,Partial,Within Lead Time,Q3 2028
PRJ-000013-SP05,PRJ-000013,MAT-1010,2026-07-01,24,5,5,980,23520,Partial,At Risk,Q3 2026
PRJ-000013-SP06,PRJ-000013,MAT-1009,2028-09-01,53,45,42,145,7685,Partial,Within Lead Time,Q3 2028
PRJ-000013-SP07,PRJ-000013,MAT-1004,2028-03-01,3993,3139,2012,27,107811,Partial,Within Lead Time,Q1 2028
PRJ-000013-SP08,PRJ-000013,MAT-1008,2027-12-01,58,37,26,19000,1102000,Partial,Within Lead Time,Q4 2027
PRJ-000014-SP01,PRJ-000014,MAT-1007,2026-05-01,44,19,7,14500,638000,Partial,At Risk,Q2 2026
PRJ-000014-SP02,PRJ-000014,MAT-1007,2027-02-01,19,9,5,14500,275500,Partial,Within Lead Time,Q1 2027
PRJ-000015-SP01,PRJ-000015,MAT-1011,2027-09-01,20,12,8,130,2600,Partial,Within Lead Time,Q3 2027
PRJ-000015-SP02,PRJ-000015,MAT-1010,2026-07-01,62,45,41,980,60760,Partial,At Risk,Q3 2026
PRJ-000015-SP03,PRJ-000015,MAT-1004,2026-03-01,7936,5126,4990,27,214272,Partial,At Risk,Q1 2026
PRJ-000015-SP04,PRJ-000015,MAT-1008,2027-04-01,61,2,1,19000,1159000,Partial,Within Lead Time,Q2 2027
PRJ-000015-SP05,PRJ-000015,MAT-1004,2027-09-01,1409,31,15,27,38043,Partial,Within Lead Time,Q3 2027
PRJ-000016-SP01,PRJ-000016,MAT-1003,2027-07-01,8523,3802,2933,12,102276,Partial,Within Lead Time,Q3 2027
PRJ-000016-SP02,PRJ-000016,MAT-1006,2028-11-01,35,10,3,6200,217000,Partial,Within Lead Time,Q4 2028
PRJ-000016-SP03,PRJ-000016,MAT-1005,2026-08-01,66,9,1,26000,1716000,Partial,At Risk,Q3 2026
PRJ-000016-SP04,PRJ-000016,MAT-1007,2026-08-01,54,50,27,14500,783000,Partial,At Risk,Q3 2026
PRJ-000016-SP05,PRJ-000016,MAT-1001,2028-10-01,28,8,2,2100,58800,Partial,Within Lead Time,Q4 2028
PRJ-000016-SP06,PRJ-000016,MAT-1003,2028-07-01,1343,861,125,12,16116,Partial,Within Lead Time,Q3 2028
PRJ-000016-SP07,PRJ-000016,MAT-1010,2026-03-01,9,1,0,980,8820,Partial,At Risk,Q1 2026
PRJ-000017-SP01,PRJ-000017,MAT-1001,2026-04-01,40,1,0,2100,84000,Partial,At Risk,Q2 2026
PRJ-000017-SP02,PRJ-000017,MAT-1005,2027-04-01,69,16,2,26000,1794000,Partial,Within Lead Time,Q2 2027
PRJ-000018-SP01,PRJ-000018,MAT-1003,2026-01-01,3914,2308,730,12,46968,Partial,At Risk,Q1 2026
PRJ-000018-SP02,PRJ-000018,MAT-1004,2028-07-01,9403,2893,730,27,253881,Partial,Within Lead Time,Q3 2028
PRJ-000018-SP03,PRJ-000018,MAT-1004,2026-12-01,7512,6459,5097,27,202824,Partial,Within Lead Time,Q4 2026
PRJ-000018-SP04,PRJ-000018,MAT-1005,2028-08-01,54,48,24,26000,1404000,Partial,Within Lead Time,Q3 2028
PRJ-000018-SP05,PRJ-000018,MAT-1009,2029-01-01,51,21,2,145,7395,Partial,Within Lead Time,Q1 2029
PRJ-000018-SP06,PRJ-000018,MAT-1001,2027-06-01,10,1,0,2100,21000,Partial,Within Lead Time,Q2 2027
PRJ-000018-SP07,PRJ-000018,MAT-1002,2028-03-01,16,4,0,420,6720,Partial,Within Lead Time,Q1 2028
PRJ-000019-SP01,PRJ-000019,MAT-1007,2026-09-01,26,23,14,14500,377000,Partial,At Risk,Q3 2026
PRJ-000019-SP02,PRJ-000019,MAT-1003,2028-03-01,1734,1089,560,12,20808,Partial,Within Lead Time,Q1 2028
PRJ-000020-SP01,PRJ-000020,MAT-1010,2028-09-01,34,7,6,980,33320,Partial,Within Lead Time,Q3 2028
PRJ-000020-SP02,PRJ-000020,MAT-1006,2029-01-01,19,1,0,6200,117800,Partial,Within Lead Time,Q1 2029
PRJ-000020-SP03,PRJ-000020,MAT-1012,2026-10-01,67,10,0,68,4556,Partial,Within Lead Time,Q4 2026
PRJ-000020-SP04,PRJ-000020,MAT-1010,2027-01-01,62,0,0,980,60760,Not Reserved,Within Lead Time,Q1 2027
PRJ-000020-SP05,PRJ-000020,MAT-1004,2026-12-01,6796,1814,1447,27,183492,Partial,Within Lead Time,Q4 2026
PRJ-000021-SP01,PRJ-000021,MAT-1007,2027-12-01,26,11,10,14500,377000,Partial,Within Lead Time,Q4 2027
PRJ-000021-SP02,PRJ-000021,MAT-1006,2026-07-01,32,1,1,6200,198400,Partial,At Risk,Q3 2026
PRJ-000021-SP03,PRJ-000021,MAT-1008,2026-11-01,38,33,20,19000,722000,Partial,At Risk,Q4 2026
PRJ-000021-SP04,PRJ-000021,MAT-1010,2027-01-01,54,52,51,980,52920,Partial,Within Lead Time,Q1 2027
PRJ-000021-SP05,PRJ-000021,MAT-1011,2026-12-01,51,30,22,130,6630,Partial,Within Lead Time,Q4 2026
PRJ-000021-SP06,PRJ-000021,MAT-1005,2026-04-01,35,12,11,26000,910000,Partial,At Risk,Q2 2026
PRJ-000021-SP07,PRJ-000021,MAT-1001,2026-08-01,31,18,18,2100,65100,Partial,At Risk,Q3 2026
PRJ-000022-SP01,PRJ-000022,MAT-1007,2027-01-01,2,1,1,14500,29000,Partial,Within Lead Time,Q1 2027
PRJ-000022-SP02,PRJ-000022,MAT-1009,2028-10-01,30,12,11,145,4350,Partial,Within Lead Time,Q4 2028
PRJ-000022-SP03,PRJ-000022,MAT-1001,2028-04-01,62,60,45,2100,130200,Partial,Within Lead Time,Q2 2028
PRJ-000022-SP04,PRJ-000022,MAT-1005,2026-08-01,24,18,13,26000,624000,Partial,At Risk,Q3 2026
PRJ-000023-SP01,PRJ-000023,MAT-1012,2026-04-01,23,20,17,68,1564,Partial,At Risk,Q2 2026
PRJ-000023-SP02,PRJ-000023,MAT-1011,2028-06-01,2,0,0,130,260,Not Reserved,Within Lead Time,Q2 2028
PRJ-000023-SP03,PRJ-000023,MAT-1012,2026-06-01,22,3,1,68,1496,Partial,At Risk,Q2 2026
PRJ-000023-SP04,PRJ-000023,MAT-1007,2026-05-01,38,36,11,14500,551000,Partial,At Risk,Q2 2026
PRJ-000024-SP01,PRJ-000024,MAT-1010,2026-12-01,2,2,1,980,1960,Partial,Within Lead Time,Q4 2026
PRJ-000024-SP02,PRJ-000024,MAT-1001,2028-02-01,77,66,27,2100,161700,Partial,Within Lead Time,Q1 2028
PRJ-000024-SP03,PRJ-000024,MAT-1008,2029-01-01,74,57,8,19000,1406000,Partial,Within Lead Time,Q1 2029
PRJ-000025-SP01,PRJ-000025,MAT-1012,2028-06-01,30,28,14,68,2040,Partial,Within Lead Time,Q2 2028
PRJ-000025-SP02,PRJ-000025,MAT-1006,2027-09-01,62,6,2,6200,384400,Partial,Within Lead Time,Q3 2027
PRJ-000025-SP03,PRJ-000025,MAT-1002,2027-01-01,76,44,32,420,31920,Partial,Within Lead Time,Q1 2027
PRJ-000025-SP04,PRJ-000025,MAT-1011,2027-04-01,36,25,15,130,4680,Partial,Within Lead Time,Q2 2027
PRJ-000025-SP05,PRJ-000025,MAT-1006,2027-06-01,39,3,2,6200,241800,Partial,Within Lead Time,Q2 2027
PRJ-000025-SP06,PRJ-000025,MAT-1001,2026-08-01,37,19,17,2100,77700,Partial,At Risk,Q3 2026
PRJ-000025-SP07,PRJ-000025,MAT-1001,2026-03-01,37,19,6,2100,77700,Partial,At Risk,Q1 2026
PRJ-000026-SP01,PRJ-000026,MAT-1009,2027-08-01,76,13,4,145,11020,Partial,Within Lead Time,Q3 2027
PRJ-000026-SP02,PRJ-000026,MAT-1011,2028-01-01,80,69,23,130,10400,Partial,Within Lead Time,Q1 2028
PRJ-000026-SP03,PRJ-000026,MAT-1003,2026-01-01,3942,848,636,12,47304,Partial,At Risk,Q1 2026
PRJ-000027-SP01,PRJ-000027,MAT-1011,2027-11-01,3,3,2,130,390,Partial,Within Lead Time,Q4 2027
PRJ-000027-SP02,PRJ-000027,MAT-1005,2027-11-01,71,13,6,26000,1846000,Partial,Within Lead Time,Q4 2027
PRJ-000027-SP03,PRJ-000027,MAT-1005,2026-06-01,53,51,12,26000,1378000,Partial,At Risk,Q2 2026
PRJ-000027-SP04,PRJ-000027,MAT-1005,2026-05-01,62,5,1,26000,1612000,Partial,At Risk,Q2 2026
PRJ-000027-SP05,PRJ-000027,MAT-1007,2028-09-01,20,7,0,14500,290000,Partial,Within Lead Time,Q3 2028
PRJ-000027-SP06,PRJ-000027,MAT-1007,2026-04-01,58,17,10,14500,841000,Partial,At Risk,Q2 2026
PRJ-000027-SP07,PRJ-000027,MAT-1006,2028-06-01,49,28,4,6200,303800,Partial,Within Lead Time,Q2 2028
PRJ-000027-SP08,PRJ-000027,MAT-1003,2028-01-01,6879,975,523,12,82548,Partial,Within Lead Time,Q1 2028
PRJ-000028-SP01,PRJ-000028,MAT-1001,2029-01-01,26,1,1,2100,54600,Partial,Within Lead Time,Q1 2029
PRJ-000028-SP02,PRJ-000028,MAT-1010,2027-06-01,34,29,17,980,33320,Partial,Within Lead Time,Q2 2027
PRJ-000028-SP03,PRJ-000028,MAT-1010,2028-09-01,67,56,10,980,65660,Partial,Within Lead Time,Q3 2028
PRJ-000028-SP04,PRJ-000028,MAT-1012,2028-07-01,45,4,1,68,3060,Partial,Within Lead Time,Q3 2028
PRJ-000028-SP05,PRJ-000028,MAT-1004,2028-09-01,8951,7451,5329,27,241677,Partial,Within Lead Time,Q3 2028
PRJ-000029-SP01,PRJ-000029,MAT-1003,2026-09-01,7473,3861,3777,12,89676,Partial,At Risk,Q3 2026
PRJ-000029-SP02,PRJ-000029,MAT-1001,2027-03-01,16,2,0,2100,33600,Partial,Within Lead Time,Q1 2027
PRJ-000029-SP03,PRJ-000029,MAT-1004,2026-03-01,1129,121,43,27,30483,Partial,At Risk,Q1 2026
PRJ-000029-SP04,PRJ-000029,MAT-1003,2027-08-01,7040,5774,4178,12,84480,Partial,Within Lead Time,Q3 2027
PRJ-000029-SP05,PRJ-000029,MAT-1004,2028-06-01,2366,637,455,27,63882,Partial,Within Lead Time,Q2 2028
PRJ-000030-SP01,PRJ-000030,MAT-1003,2026-01-01,9858,797,740,12,118296,Partial,At Risk,Q1 2026
PRJ-000030-SP02,PRJ-000030,MAT-1001,2028-01-01,26,1,1,2100,54600,Partial,Within Lead Time,Q1 2028
PRJ-000030-SP03,PRJ-000030,MAT-1006,2026-03-01,52,28,21,6200,322400,Partial,At Risk,Q1 2026
PRJ-000030-SP04,PRJ-000030,MAT-1001,2028-01-01,45,22,7,2100,94500,Partial,Within Lead Time,Q1 2028
PRJ-000030-SP05,PRJ-000030,MAT-1008,2027-06-01,21,12,11,19000,399000,Partial,Within Lead Time,Q2 2027
PRJ-000031-SP01,PRJ-000031,MAT-1008,2026-12-01,61,44,30,19000,1159000,Partial,At Risk,Q4 2026
PRJ-000031-SP02,PRJ-000031,MAT-1004,2026-08-01,5657,3184,2716,27,152739,Partial,At Risk,Q3 2026
PRJ-000031-SP03,PRJ-000031,MAT-1007,2028-10-01,40,7,6,14500,580000,Partial,Within Lead Time,Q4 2028
PRJ-000031-SP04,PRJ-000031,MAT-1001,2027-01-01,57,43,5,2100,119700,Partial,Within Lead Time,Q1 2027
PRJ-000031-SP05,PRJ-000031,MAT-1009,2027-07-01,28,2,2,145,4060,Partial,Within Lead Time,Q3 2027
PRJ-000031-SP06,PRJ-000031,MAT-1010,2026-03-01,60,46,44,980,58800,Partial,At Risk,Q1 2026
PRJ-000032-SP01,PRJ-000032,MAT-1008,2026-08-01,22,4,3,19000,418000,Partial,At Risk,Q3 2026
PRJ-000032-SP02,PRJ-000032,MAT-1007,2027-12-01,56,48,23,14500,812000,Partial,Within Lead Time,Q4 2027
PRJ-000032-SP03,PRJ-000032,MAT-1003,2026-05-01,6354,3744,1324,12,76248,Partial,At Risk,Q2 2026
PRJ-000032-SP04,PRJ-000032,MAT-1008,2026-08-01,18,10,2,19000,342000,Partial,At Risk,Q3 2026
PRJ-000032-SP05,PRJ-000032,MAT-1003,2026-10-01,3515,856,30,12,42180,Partial,At Risk,Q4 2026
PRJ-000033-SP01,PRJ-000033,MAT-1012,2027-02-01,77,31,28,68,5236,Partial,Within Lead Time,Q1 2027
PRJ-000033-SP02,PRJ-000033,MAT-1004,2028-05-01,8382,1961,1340,27,226314,Partial,Within Lead Time,Q2 2028
PRJ-000033-SP03,PRJ-000033,MAT-1001,2028-04-01,79,14,12,2100,165900,Partial,Within Lead Time,Q2 2028
PRJ-000033-SP04,PRJ-000033,MAT-1009,2028-08-01,54,12,7,145,7830,Partial,Within Lead Time,Q3 2028
PRJ-000033-SP05,PRJ-000033,MAT-1011,2028-11-01,36,7,2,130,4680,Partial,Within Lead Time,Q4 2028
PRJ-000034-SP01,PRJ-000034,MAT-1003,2028-11-01,8987,3761,1891,12,107844,Partial,Within Lead Time,Q4 2028
PRJ-000034-SP02,PRJ-000034,MAT-1006,2026-05-01,43,31,7,6200,266600,Partial,At Risk,Q2 2026
PRJ-000034-SP03,PRJ-000034,MAT-1005,2027-05-01,68,24,9,26000,1768000,Partial,Within Lead Time,Q2 2027
PRJ-000034-SP04,PRJ-000034,MAT-1007,2026-07-01,71,49,2,14500,1029500,Partial,At Risk,Q3 2026
PRJ-000034-SP05,PRJ-000034,MAT-1002,2026-04-01,54,7,1,420,22680,Partial,At Risk,Q2 2026
PRJ-000034-SP06,PRJ-000034,MAT-1004,2027-05-01,7304,6529,6242,27,197208,Partial,Within Lead Time,Q2 2027
PRJ-000034-SP07,PRJ-000034,MAT-1011,2027-07-01,69,15,13,130,8970,Partial,Within Lead Time,Q3 2027
PRJ-000034-SP08,PRJ-000034,MAT-1006,2026-01-01,62,47,45,6200,384400,Partial,At Risk,Q1 2026
PRJ-000035-SP01,PRJ-000035,MAT-1010,2026-07-01,33,0,0,980,32340,Not Reserved,At Risk,Q3 2026
PRJ-000035-SP02,PRJ-000035,MAT-1002,2028-08-01,41,16,3,420,17220,Partial,Within Lead Time,Q3 2028
PRJ-000035-SP03,PRJ-000035,MAT-1007,2026-05-01,70,22,1,14500,1015000,Partial,At Risk,Q2 2026
PRJ-000035-SP04,PRJ-000035,MAT-1004,2027-05-01,6650,589,116,27,179550,Partial,Within Lead Time,Q2 2027
PRJ-000035-SP05,PRJ-000035,MAT-1008,2027-02-01,79,14,5,19000,1501000,Partial,Within Lead Time,Q1 2027
PRJ-000035-SP06,PRJ-000035,MAT-1012,2028-02-01,60,54,41,68,4080,Partial,Within Lead Time,Q1 2028
PRJ-000035-SP07,PRJ-000035,MAT-1003,2027-12-01,713,257,230,12,8556,Partial,Within Lead Time,Q4 2027
PRJ-000036-SP01,PRJ-000036,MAT-1004,2028-08-01,4280,873,721,27,115560,Partial,Within Lead Time,Q3 2028
PRJ-000036-SP02,PRJ-000036,MAT-1005,2028-05-01,80,39,15,26000,2080000,Partial,Within Lead Time,Q2 2028
PRJ-000036-SP03,PRJ-000036,MAT-1008,2026-07-01,13,5,5,19000,247000,Partial,At Risk,Q3 2026
PRJ-000036-SP04,PRJ-000036,MAT-1009,2027-02-01,75,61,11,145,10875,Partial,Within Lead Time,Q1 2027
PRJ-000036-SP05,PRJ-000036,MAT-1012,2026-11-01,65,45,25,68,4420,Partial,Within Lead Time,Q4 2026
PRJ-000036-SP06,PRJ-000036,MAT-1003,2028-10-01,4558,2903,1909,12,54696,Partial,Within Lead Time,Q4 2028
PRJ-000036-SP07,PRJ-000036,MAT-1009,2028-08-01,65,19,4,145,9425,Partial,Within Lead Time,Q3 2028
PRJ-000037-SP01,PRJ-000037,MAT-1004,2027-07-01,6916,5567,1108,27,186732,Partial,Within Lead Time,Q3 2027
PRJ-000037-SP02,PRJ-000037,MAT-1005,2027-10-01,65,39,34,26000,1690000,Partial,Within Lead Time,Q4 2027
PRJ-000037-SP03,PRJ-000037,MAT-1005,2026-10-01,39,2,0,26000,1014000,Partial,At Risk,Q4 2026
PRJ-000037-SP04,PRJ-000037,MAT-1003,2027-12-01,6523,574,370,12,78276,Partial,Within Lead Time,Q4 2027
PRJ-000037-SP05,PRJ-000037,MAT-1003,2027-12-01,8882,1413,920,12,106584,Partial,Within Lead Time,Q4 2027
PRJ-000037-SP06,PRJ-000037,MAT-1006,2028-08-01,67,5,3,6200,415400,Partial,Within Lead Time,Q3 2028
PRJ-000038-SP01,PRJ-000038,MAT-1002,2028-09-01,23,4,2,420,9660,Partial,Within Lead Time,Q3 2028
PRJ-000038-SP02,PRJ-000038,MAT-1002,2026-02-01,32,16,11,420,13440,Partial,At Risk,Q1 2026
PRJ-000038-SP03,PRJ-000038,MAT-1010,2026-09-01,65,25,19,980,63700,Partial,At Risk,Q3 2026
PRJ-000038-SP04,PRJ-000038,MAT-1008,2027-06-01,15,10,2,19000,285000,Partial,Within Lead Time,Q2 2027
PRJ-000038-SP05,PRJ-000038,MAT-1007,2026-09-01,50,37,24,14500,725000,Partial,At Risk,Q3 2026
PRJ-000038-SP06,PRJ-000038,MAT-1002,2027-04-01,47,47,14,420,19740,Partial,Within Lead Time,Q2 2027
PRJ-000039-SP01,PRJ-000039,MAT-1001,2027-12-01,28,14,10,2100,58800,Partial,Within Lead Time,Q4 2027
PRJ-000039-SP02,PRJ-000039,MAT-1001,2027-04-01,30,23,6,2100,63000,Partial,Within Lead Time,Q2 2027
PRJ-000039-SP03,PRJ-000039,MAT-1005,2027-06-01,37,21,5,26000,962000,Partial,Within Lead Time,Q2 2027
PRJ-000039-SP04,PRJ-000039,MAT-1001,2027-12-01,6,6,1,2100,12600,Partial,Within Lead Time,Q4 2027
PRJ-000040-SP01,PRJ-000040,MAT-1002,2026-11-01,45,30,16,420,18900,Partial,Within Lead Time,Q4 2026
PRJ-000040-SP02,PRJ-000040,MAT-1005,2026-02-01,59,39,10,26000,1534000,Partial,At Risk,Q1 2026
PRJ-000040-SP03,PRJ-000040,MAT-1001,2027-03-01,50,45,40,2100,105000,Partial,Within Lead Time,Q1 2027
