Demand_Month,Region,Material_ID,Material_Name,Historical_Usage_Qty,Open_Project_Demand_Qty,Seasonality_Index,Trend_Index,Forecast_Need_Qty,Safety_Stock_Qty,Total_Required_Qty,Available_Qty,Projected_Shortage_Qty,Projected_Shortage_Cost_$,Forecast_Scenario
2025-01-01,North,MAT-1001,Composite Utility Pole,155,25,0.87,1.431,224,45,269,270,0,0,Base
2025-02-01,North,MAT-1001,Composite Utility Pole,240,104,0.92,1.445,457,91,548,747,0,0,Base
2025-03-01,North,MAT-1001,Composite Utility Pole,249,27,1.0,1.46,403,81,484,687,0,0,Base
2025-04-01,North,MAT-1001,Composite Utility Pole,241,16,1.08,1.474,409,82,491,548,0,0,Base
2025-05-01,North,MAT-1001,Composite Utility Pole,203,64,1.13,1.489,449,90,539,475,64,134400,Base
2025-06-01,North,MAT-1001,Composite Utility Pole,278,47,1.15,1.504,562,112,674,600,74,155400,Base
2025-07-01,North,MAT-1001,Composite Utility Pole,267,113,1.13,1.519,652,130,782,1098,0,0,Base
2025-08-01,North,MAT-1001,Composite Utility Pole,192,50,1.08,1.534,401,80,481,547,0,0,Base
2025-09-01,North,MAT-1001,Composite Utility Pole,231,16,1.0,1.549,383,77,460,413,47,98700,Base
2025-10-01,North,MAT-1001,Composite Utility Pole,219,29,0.92,1.565,357,71,428,579,0,0,Base
2025-11-01,North,MAT-1001,Composite Utility Pole,194,52,0.87,1.58,338,68,406,362,44,92400,Base
2025-12-01,North,MAT-1001,Composite Utility Pole,159,36,0.85,1.596,265,53,318,336,0,0,Base
2026-01-01,North,MAT-1001,Composite Utility Pole,227,35,0.87,1.612,367,73,440,406,34,71400,Base
2026-02-01,North,MAT-1001,Composite Utility Pole,205,89,0.92,1.628,440,88,528,556,0,0,Base
2026-03-01,North,MAT-1001,Composite Utility Pole,251,102,1.0,1.645,581,116,697,956,0,0,Base
2026-04-01,North,MAT-1001,Composite Utility Pole,196,81,1.08,1.661,497,99,596,675,0,0,Base
2026-05-01,North,MAT-1001,Composite Utility Pole,232,51,1.13,1.678,537,107,644,556,88,184800,Base
2026-06-01,North,MAT-1001,Composite Utility Pole,274,78,1.15,1.694,686,137,823,1169,0,0,Base
2026-07-01,North,MAT-1001,Composite Utility Pole,238,52,1.13,1.711,561,112,673,732,0,0,Base
2026-08-01,North,MAT-1001,Composite Utility Pole,219,53,1.08,1.729,508,102,610,546,64,134400,Base
2026-09-01,North,MAT-1001,Composite Utility Pole,214,67,1.0,1.746,491,98,589,643,0,0,Base
2026-10-01,North,MAT-1001,Composite Utility Pole,238,38,0.92,1.763,448,90,538,599,0,0,Base
2026-11-01,North,MAT-1001,Composite Utility Pole,193,80,0.87,1.781,423,85,508,522,0,0,Base
2026-12-01,North,MAT-1001,Composite Utility Pole,163,11,0.85,1.799,266,53,319,409,0,0,Base
2022-01-01,South,MAT-1001,Composite Utility Pole,161,52,0.87,1.0,185,37,222,314,0,0,Base
2022-02-01,South,MAT-1001,Composite Utility Pole,177,66,0.92,1.01,226,45,271,259,12,25200,Base
2022-03-01,South,MAT-1001,Composite Utility Pole,202,51,1.0,1.02,258,52,310,317,0,0,Base
2022-04-01,South,MAT-1001,Composite Utility Pole,239,66,1.08,1.03,339,68,407,479,0,0,Base
2022-05-01,South,MAT-1001,Composite Utility Pole,204,19,1.13,1.041,262,52,314,301,13,27300,Base
2022-06-01,South,MAT-1001,Composite Utility Pole,218,85,1.15,1.051,366,73,439,487,0,0,Base
2022-07-01,South,MAT-1001,Composite Utility Pole,246,23,1.13,1.062,323,65,388,550,0,0,Base
2022-08-01,South,MAT-1001,Composite Utility Pole,226,36,1.08,1.072,303,61,364,478,0,0,Base
2022-09-01,South,MAT-1001,Composite Utility Pole,223,90,1.0,1.083,339,68,407,512,0,0,Base
2022-10-01,South,MAT-1001,Composite Utility Pole,178,13,0.92,1.094,192,38,230,210,20,42000,Base
2022-11-01,South,MAT-1001,Composite Utility Pole,213,62,0.87,1.105,264,53,317,368,0,0,Base
2022-12-01,South,MAT-1001,Composite Utility Pole,149,11,0.85,1.116,152,30,182,200,0,0,Base
2023-01-01,South,MAT-1001,Composite Utility Pole,179,53,0.87,1.127,227,45,272,237,35,73500,Base
2023-02-01,South,MAT-1001,Composite Utility Pole,169,60,0.92,1.138,240,48,288,285,3,6300,Base
2023-03-01,South,MAT-1001,Composite Utility Pole,189,60,1.0,1.149,286,57,343,493,0,0,Base
2023-04-01,South,MAT-1001,Composite Utility Pole,265,60,1.08,1.161,408,82,490,702,0,0,Base
2023-05-01,South,MAT-1001,Composite Utility Pole,277,49,1.13,1.173,432,86,518,701,0,0,Base
2023-06-01,South,MAT-1001,Composite Utility Pole,237,48,1.15,1.184,388,78,466,524,0,0,Base
2023-07-01,South,MAT-1001,Composite Utility Pole,217,30,1.13,1.196,334,67,401,511,0,0,Base
2023-08-01,South,MAT-1001,Composite Utility Pole,187,47,1.08,1.208,305,61,366,510,0,0,Base
2023-09-01,South,MAT-1001,Composite Utility Pole,175,41,1.0,1.22,264,53,317,369,0,0,Base
2023-10-01,South,MAT-1001,Composite Utility Pole,221,49,0.92,1.232,306,61,367,318,49,102900,Base
2023-11-01,South,MAT-1001,Composite Utility Pole,161,64,0.87,1.245,244,49,293,414,0,0,Base
2023-12-01,South,MAT-1001,Composite Utility Pole,170,20,0.85,1.257,203,41,244,323,0,0,Base
2024-01-01,South,MAT-1001,Composite Utility Pole,196,72,0.87,1.27,296,59,355,478,0,0,Base
2024-02-01,South,MAT-1001,Composite Utility Pole,163,45,0.92,1.282,245,49,294,410,0,0,Base
2024-03-01,South,MAT-1001,Composite Utility Pole,246,35,1.0,1.295,364,73,437,417,20,42000,Base
2024-04-01,South,MAT-1001,Composite Utility Pole,229,42,1.08,1.308,383,77,460,558,0,0,Base
2024-05-01,South,MAT-1001,Composite Utility Pole,265,58,1.13,1.321,482,96,578,649,0,0,Base
2024-06-01,South,MAT-1001,Composite Utility Pole,257,97,1.15,1.335,543,109,652,626,26,54600,Base
2024-07-01,South,MAT-1001,Composite Utility Pole,263,32,1.13,1.348,449,90,539,640,0,0,Base
2024-08-01,South,MAT-1001,Composite Utility Pole,251,16,1.08,1.361,393,79,472,597,0,0,Base
2024-09-01,South,MAT-1001,Composite Utility Pole,210,43,1.0,1.375,348,70,418,541,0,0,Base
2024-10-01,South,MAT-1001,Composite Utility Pole,173,20,0.92,1.389,247,49,296,262,34,71400,Base
2024-11-01,South,MAT-1001,Composite Utility Pole,157,64,0.87,1.403,270,54,324,420,0,0,Base
2024-12-01,South,MAT-1001,Composite Utility Pole,199,50,0.85,1.417,300,60,360,497,0,0,Base
2025-01-01,South,MAT-1001,Composite Utility Pole,177,13,0.87,1.431,237,47,284,267,17,35700,Base
2025-02-01,South,MAT-1001,Composite Utility Pole,201,68,0.92,1.445,358,72,430,495,0,0,Base
2025-03-01,South,MAT-1001,Composite Utility Pole,170,54,1.0,1.46,327,65,392,488,0,0,Base
2025-04-01,South,MAT-1001,Composite Utility Pole,220,46,1.08,1.474,423,85,508,732,0,0,Base
2025-05-01,South,MAT-1001,Composite Utility Pole,267,70,1.13,1.489,567,113,680,838,0,0,Base
2025-06-01,South,MAT-1001,Composite Utility Pole,193,83,1.15,1.504,477,95,572,683,0,0,Base
2025-07-01,South,MAT-1001,Composite Utility Pole,192,34,1.13,1.519,388,78,466,673,0,0,Base
2025-08-01,South,MAT-1001,Composite Utility Pole,255,98,1.08,1.534,585,117,702,943,0,0,Base
2025-09-01,South,MAT-1001,Composite Utility Pole,219,98,1.0,1.549,491,98,589,845,0,0,Base
2025-10-01,South,MAT-1001,Composite Utility Pole,225,57,0.92,1.565,406,81,487,473,14,29400,Base
2025-11-01,South,MAT-1001,Composite Utility Pole,178,19,0.87,1.58,271,54,325,294,31,65100,Base
2025-12-01,South,MAT-1001,Composite Utility Pole,172,41,0.85,1.596,289,58,347,350,0,0,Base
2026-01-01,South,MAT-1001,Composite Utility Pole,205,76,0.87,1.612,394,79,473,607,0,0,Base
2026-02-01,South,MAT-1001,Composite Utility Pole,160,54,0.92,1.628,321,64,385,399,0,0,Base
2026-03-01,South,MAT-1001,Composite Utility Pole,234,40,1.0,1.645,451,90,541,647,0,0,Base
2026-04-01,South,MAT-1001,Composite Utility Pole,260,36,1.08,1.661,531,106,637,910,0,0,Base
2026-05-01,South,MAT-1001,Composite Utility Pole,189,15,1.13,1.678,387,77,464,628,0,0,Base
2026-06-01,South,MAT-1001,Composite Utility Pole,278,101,1.15,1.694,739,148,887,840,47,98700,Base
2026-07-01,South,MAT-1001,Composite Utility Pole,262,116,1.13,1.711,731,146,877,852,25,52500,Base
2026-08-01,South,MAT-1001,Composite Utility Pole,221,52,1.08,1.729,510,102,612,803,0,0,Base
2026-09-01,South,MAT-1001,Composite Utility Pole,202,67,1.0,1.746,470,94,564,542,22,46200,Base
2026-10-01,South,MAT-1001,Composite Utility Pole,155,65,0.92,1.763,357,71,428,433,0,0,Base
2026-11-01,South,MAT-1001,Composite Utility Pole,164,69,0.87,1.781,361,72,433,535,0,0,Base
2026-12-01,South,MAT-1001,Composite Utility Pole,158,25,0.85,1.799,280,56,336,417,0,0,Base
2022-01-01,East,MAT-1001,Composite Utility Pole,209,19,0.87,1.0,198,40,238,278,0,0,Base
2022-02-01,East,MAT-1001,Composite Utility Pole,291,95,0.92,1.01,359,72,431,608,0,0,Base
2022-03-01,East,MAT-1001,Composite Utility Pole,309,47,1.0,1.02,363,73,436,593,0,0,Base
2022-04-01,East,MAT-1001,Composite Utility Pole,256,82,1.08,1.03,376,75,451,597,0,0,Base
2022-05-01,East,MAT-1001,Composite Utility Pole,267,38,1.13,1.041,359,72,431,429,2,4200,Base
2022-06-01,East,MAT-1001,Composite Utility Pole,332,22,1.15,1.051,428,86,514,552,0,0,Base
2022-07-01,East,MAT-1001,Composite Utility Pole,350,148,1.13,1.062,597,119,716,853,0,0,Base
2022-08-01,East,MAT-1001,Composite Utility Pole,281,61,1.08,1.072,396,79,475,573,0,0,Base
2022-09-01,East,MAT-1001,Composite Utility Pole,259,77,1.0,1.083,364,73,437,589,0,0,Base
2022-10-01,East,MAT-1001,Composite Utility Pole,231,65,0.92,1.094,298,60,358,316,42,88200,Base
2022-11-01,East,MAT-1001,Composite Utility Pole,210,55,0.87,1.105,255,51,306,362,0,0,Base
2022-12-01,East,MAT-1001,Composite Utility Pole,258,18,0.85,1.116,262,52,314,395,0,0,Base
2023-01-01,East,MAT-1001,Composite Utility Pole,260,80,0.87,1.127,333,67,400,435,0,0,Base
2023-02-01,East,MAT-1001,Composite Utility Pole,265,92,0.92,1.138,374,75,449,639,0,0,Base
2023-03-01,East,MAT-1001,Composite Utility Pole,232,21,1.0,1.149,291,58,349,327,22,46200,Base
2023-04-01,East,MAT-1001,Composite Utility Pole,272,32,1.08,1.161,381,76,457,661,0,0,Base
2023-05-01,East,MAT-1001,Composite Utility Pole,254,111,1.13,1.173,484,97,581,592,0,0,Base
2023-06-01,East,MAT-1001,Composite Utility Pole,286,82,1.15,1.184,501,100,601,672,0,0,Base
2023-07-01,East,MAT-1001,Composite Utility Pole,355,59,1.13,1.196,560,112,672,604,68,142800,Base
2023-08-01,East,MAT-1001,Composite Utility Pole,237,43,1.08,1.208,365,73,438,441,0,0,Base
2023-09-01,East,MAT-1001,Composite Utility Pole,307,107,1.0,1.22,505,101,606,808,0,0,Base
2023-10-01,East,MAT-1001,Composite Utility Pole,210,11,0.92,1.232,251,50,301,362,0,0,Base
2023-11-01,East,MAT-1001,Composite Utility Pole,215,39,0.87,1.245,275,55,330,399,0,0,Base
2023-12-01,East,MAT-1001,Composite Utility Pole,205,80,0.85,1.257,305,61,366,527,0,0,Base
2024-01-01,East,MAT-1001,Composite Utility Pole,269,32,0.87,1.27,333,67,400,486,0,0,Base
2024-02-01,East,MAT-1001,Composite Utility Pole,273,112,0.92,1.282,454,91,545,751,0,0,Base
2024-03-01,East,MAT-1001,Composite Utility Pole,281,61,1.0,1.295,443,89,532,710,0,0,Base
2024-04-01,East,MAT-1001,Composite Utility Pole,251,34,1.08,1.308,403,81,484,531,0,0,Base
2024-05-01,East,MAT-1001,Composite Utility Pole,274,31,1.13,1.321,455,91,546,545,1,2100,Base
2024-06-01,East,MAT-1001,Composite Utility Pole,327,76,1.15,1.335,618,124,742,1037,0,0,Base
2024-07-01,East,MAT-1001,Composite Utility Pole,245,48,1.13,1.348,446,89,535,589,0,0,Base
2024-08-01,East,MAT-1001,Composite Utility Pole,337,86,1.08,1.361,622,124,746,661,85,178500,Base
2024-09-01,East,MAT-1001,Composite Utility Pole,215,53,1.0,1.375,368,74,442,527,0,0,Base
2024-10-01,East,MAT-1001,Composite Utility Pole,242,77,0.92,1.389,408,82,490,425,65,136500,Base
2024-11-01,East,MAT-1001,Composite Utility Pole,239,101,0.87,1.403,415,83,498,635,0,0,Base
2024-12-01,East,MAT-1001,Composite Utility Pole,248,84,0.85,1.417,400,80,480,529,0,0,Base
2025-01-01,East,MAT-1001,Composite Utility Pole,190,83,0.87,1.431,340,68,408,486,0,0,Base
2025-02-01,East,MAT-1001,Composite Utility Pole,248,39,0.92,1.445,382,76,458,434,24,50400,Base
2025-03-01,East,MAT-1001,Composite Utility Pole,219,66,1.0,1.46,416,83,499,510,0,0,Base
2025-04-01,East,MAT-1001,Composite Utility Pole,250,62,1.08,1.474,497,99,596,860,0,0,Base
2025-05-01,East,MAT-1001,Composite Utility Pole,296,113,1.13,1.489,688,138,826,953,0,0,Base
2025-06-01,East,MAT-1001,Composite Utility Pole,291,96,1.15,1.504,669,134,803,1016,0,0,Base
2025-07-01,East,MAT-1001,Composite Utility Pole,346,94,1.13,1.519,755,151,906,1283,0,0,Base
2025-08-01,East,MAT-1001,Composite Utility Pole,244,29,1.08,1.534,452,90,542,684,0,0,Base
2025-09-01,East,MAT-1001,Composite Utility Pole,223,36,1.0,1.549,401,80,481,438,43,90300,Base
2025-10-01,East,MAT-1001,Composite Utility Pole,289,66,0.92,1.565,511,102,613,617,0,0,Base
2025-11-01,East,MAT-1001,Composite Utility Pole,191,78,0.87,1.58,370,74,444,598,0,0,Base
2025-12-01,East,MAT-1001,Composite Utility Pole,198,28,0.85,1.596,307,61,368,325,43,90300,Base
2026-01-01,East,MAT-1001,Composite Utility Pole,188,45,0.87,1.612,327,65,392,566,0,0,Base
2026-02-01,East,MAT-1001,Composite Utility Pole,272,60,0.92,1.628,497,99,596,704,0,0,Base
2026-03-01,East,MAT-1001,Composite Utility Pole,223,84,1.0,1.645,505,101,606,526,80,168000,Base
2026-04-01,East,MAT-1001,Composite Utility Pole,341,65,1.08,1.661,728,146,874,825,49,102900,Base
2026-05-01,East,MAT-1001,Composite Utility Pole,335,61,1.13,1.678,751,150,901,888,13,27300,Base
2026-06-01,East,MAT-1001,Composite Utility Pole,325,123,1.15,1.694,873,175,1048,1357,0,0,Base
2026-07-01,East,MAT-1001,Composite Utility Pole,333,30,1.13,1.711,702,140,842,1139,0,0,Base
2026-08-01,East,MAT-1001,Composite Utility Pole,282,23,1.08,1.729,569,114,683,647,36,75600,Base
2026-09-01,East,MAT-1001,Composite Utility Pole,225,78,1.0,1.746,529,106,635,845,0,0,Base
2026-10-01,East,MAT-1001,Composite Utility Pole,266,55,0.92,1.763,521,104,625,879,0,0,Base
2026-11-01,East,MAT-1001,Composite Utility Pole,240,47,0.87,1.781,445,89,534,635,0,0,Base
2026-12-01,East,MAT-1001,Composite Utility Pole,260,26,0.85,1.799,437,87,524,709,0,0,Base
2022-01-01,West,MAT-1001,Composite Utility Pole,232,94,0.87,1.0,284,57,341,350,0,0,Base
2022-02-01,West,MAT-1001,Composite Utility Pole,192,12,0.92,1.01,190,38,228,205,23,48300,Base
2022-03-01,West,MAT-1001,Composite Utility Pole,255,55,1.0,1.02,316,63,379,334,45,94500,Base
2022-04-01,West,MAT-1001,Composite Utility Pole,230,86,1.08,1.03,352,70,422,416,6,12600,Base
2022-05-01,West,MAT-1001,Composite Utility Pole,305,128,1.13,1.041,509,102,611,689,0,0,Base
2022-06-01,West,MAT-1001,Composite Utility Pole,233,47,1.15,1.051,338,68,406,419,0,0,Base
2022-07-01,West,MAT-1001,Composite Utility Pole,252,67,1.13,1.062,383,77,460,439,21,44100,Base
2022-08-01,West,MAT-1001,Composite Utility Pole,221,77,1.08,1.072,345,69,414,353,61,128100,Base
2022-09-01,West,MAT-1001,Composite Utility Pole,228,69,1.0,1.083,322,64,386,540,0,0,Base
2022-10-01,West,MAT-1001,Composite Utility Pole,250,103,0.92,1.094,355,71,426,575,0,0,Base
2022-11-01,West,MAT-1001,Composite Utility Pole,164,24,0.87,1.105,181,36,217,254,0,0,Base
2022-12-01,West,MAT-1001,Composite Utility Pole,211,83,0.85,1.116,279,56,335,476,0,0,Base
2023-01-01,West,MAT-1001,Composite Utility Pole,237,19,0.87,1.127,251,50,301,316,0,0,Base
2023-02-01,West,MAT-1001,Composite Utility Pole,174,24,0.92,1.138,207,41,248,240,8,16800,Base
2023-03-01,West,MAT-1001,Composite Utility Pole,249,106,1.0,1.149,408,82,490,481,9,18900,Base
2023-04-01,West,MAT-1001,Composite Utility Pole,218,66,1.08,1.161,356,71,427,564,0,0,Base
2023-05-01,West,MAT-1001,Composite Utility Pole,263,91,1.13,1.173,469,94,563,515,48,100800,Base
2023-06-01,West,MAT-1001,Composite Utility Pole,279,108,1.15,1.184,527,105,632,713,0,0,Base
2023-07-01,West,MAT-1001,Composite Utility Pole,224,96,1.13,1.196,433,87,520,459,61,128100,Base
2023-08-01,West,MAT-1001,Composite Utility Pole,238,89,1.08,1.208,427,85,512,657,0,0,Base
2023-09-01,West,MAT-1001,Composite Utility Pole,257,19,1.0,1.22,337,67,404,554,0,0,Base
2023-10-01,West,MAT-1001,Composite Utility Pole,203,54,0.92,1.232,291,58,349,481,0,0,Base
2023-11-01,West,MAT-1001,Composite Utility Pole,171,28,0.87,1.245,215,43,258,349,0,0,Base
2023-12-01,West,MAT-1001,Composite Utility Pole,232,52,0.85,1.257,303,61,364,334,30,63000,Base
2024-01-01,West,MAT-1001,Composite Utility Pole,224,12,0.87,1.27,261,52,313,341,0,0,Base
2024-02-01,West,MAT-1001,Composite Utility Pole,206,54,0.92,1.282,307,61,368,405,0,0,Base
2024-03-01,West,MAT-1001,Composite Utility Pole,254,52,1.0,1.295,396,79,475,496,0,0,Base
2024-04-01,West,MAT-1001,Composite Utility Pole,276,14,1.08,1.308,410,82,492,455,37,77700,Base
2024-05-01,West,MAT-1001,Composite Utility Pole,300,49,1.13,1.321,521,104,625,801,0,0,Base
2024-06-01,West,MAT-1001,Composite Utility Pole,255,17,1.15,1.335,417,83,500,506,0,0,Base
2024-07-01,West,MAT-1001,Composite Utility Pole,253,63,1.13,1.348,481,96,577,573,4,8400,Base
2024-08-01,West,MAT-1001,Composite Utility Pole,245,32,1.08,1.361,407,81,488,657,0,0,Base
2024-09-01,West,MAT-1001,Composite Utility Pole,187,42,1.0,1.375,315,63,378,503,0,0,Base
2024-10-01,West,MAT-1001,Composite Utility Pole,251,102,0.92,1.389,451,90,541,709,0,0,Base
2024-11-01,West,MAT-1001,Composite Utility Pole,183,41,0.87,1.403,273,55,328,434,0,0,Base
2024-12-01,West,MAT-1001,Composite Utility Pole,219,62,0.85,1.417,338,68,406,407,0,0,Base
2025-01-01,West,MAT-1001,Composite Utility Pole,175,75,0.87,1.431,311,62,373,433,0,0,Base
2025-02-01,West,MAT-1001,Composite Utility Pole,226,84,0.92,1.445,412,82,494,617,0,0,Base
2025-03-01,West,MAT-1001,Composite Utility Pole,221,15,1.0,1.46,344,69,413,482,0,0,Base
2025-04-01,West,MAT-1001,Composite Utility Pole,243,83,1.08,1.474,519,104,623,697,0,0,Base
2025-05-01,West,MAT-1001,Composite Utility Pole,274,36,1.13,1.489,522,104,626,707,0,0,Base
2025-06-01,West,MAT-1001,Composite Utility Pole,291,97,1.15,1.504,671,134,805,1130,0,0,Base
2025-07-01,West,MAT-1001,Composite Utility Pole,234,59,1.13,1.519,503,101,604,851,0,0,Base
2025-08-01,West,MAT-1001,Composite Utility Pole,284,77,1.08,1.534,598,120,718,611,107,224700,Base
2025-09-01,West,MAT-1001,Composite Utility Pole,238,104,1.0,1.549,530,106,636,631,5,10500,Base
2025-10-01,West,MAT-1001,Composite Utility Pole,247,26,0.92,1.565,393,79,472,436,36,75600,Base
2025-11-01,West,MAT-1001,Composite Utility Pole,195,31,0.87,1.58,311,62,373,492,0,0,Base
2025-12-01,West,MAT-1001,Composite Utility Pole,189,20,0.85,1.596,284,57,341,451,0,0,Base
2026-01-01,West,MAT-1001,Composite Utility Pole,216,46,0.87,1.612,367,73,440,401,39,81900,Base
2026-02-01,West,MAT-1001,Composite Utility Pole,200,86,0.92,1.628,428,86,514,673,0,0,Base
2026-03-01,West,MAT-1001,Composite Utility Pole,213,72,1.0,1.645,469,94,563,785,0,0,Base
2026-04-01,West,MAT-1001,Composite Utility Pole,282,86,1.08,1.661,660,132,792,933,0,0,Base
2026-05-01,West,MAT-1001,Composite Utility Pole,285,84,1.13,1.678,700,140,840,817,23,48300,Base
2026-06-01,West,MAT-1001,Composite Utility Pole,218,87,1.15,1.694,594,119,713,1009,0,0,Base
2026-07-01,West,MAT-1001,Composite Utility Pole,293,99,1.13,1.711,758,152,910,961,0,0,Base
2026-08-01,West,MAT-1001,Composite Utility Pole,261,100,1.08,1.729,674,135,809,1057,0,0,Base
2026-09-01,West,MAT-1001,Composite Utility Pole,219,17,1.0,1.746,412,82,494,471,23,48300,Base
2026-10-01,West,MAT-1001,Composite Utility Pole,215,86,0.92,1.763,488,98,586,560,26,54600,Base
2026-11-01,West,MAT-1001,Composite Utility Pole,240,90,0.87,1.781,511,102,613,823,0,0,Base
2026-12-01,West,MAT-1001,Composite Utility Pole,194,31,0.85,1.799,344,69,413,462,0,0,Base
2022-01-01,North,MAT-1002,Crossarm Assembly,75,30,0.87,1.0,91,18,109,154,0,0,Base
2022-02-01,North,MAT-1002,Crossarm Assembly,82,8,0.92,1.01,84,17,101,91,10,4200,Base
2022-03-01,North,MAT-1002,Crossarm Assembly,73,21,1.0,1.02,96,19,115,151,0,0,Base
2022-04-01,North,MAT-1002,Crossarm Assembly,94,18,1.08,1.03,125,25,150,141,9,3780,Base
2022-05-01,North,MAT-1002,Crossarm Assembly,84,22,1.13,1.041,125,25,150,139,11,4620,Base
2022-06-01,North,MAT-1002,Crossarm Assembly,86,35,1.15,1.051,146,29,175,156,19,7980,Base
2022-07-01,North,MAT-1002,Crossarm Assembly,78,27,1.13,1.062,126,25,151,200,0,0,Base
2022-08-01,North,MAT-1002,Crossarm Assembly,104,38,1.08,1.072,164,33,197,190,7,2940,Base
2022-09-01,North,MAT-1002,Crossarm Assembly,74,11,1.0,1.083,92,18,110,133,0,0,Base
2022-10-01,North,MAT-1002,Crossarm Assembly,81,27,0.92,1.094,109,22,131,124,7,2940,Base
2022-11-01,North,MAT-1002,Crossarm Assembly,60,15,0.87,1.105,72,14,86,75,11,4620,Base
2022-12-01,North,MAT-1002,Crossarm Assembly,75,24,0.85,1.116,94,19,113,134,0,0,Base
2023-01-01,North,MAT-1002,Crossarm Assembly,74,20,0.87,1.127,92,18,110,151,0,0,Base
2023-02-01,North,MAT-1002,Crossarm Assembly,86,36,0.92,1.138,128,26,154,175,0,0,Base
2023-03-01,North,MAT-1002,Crossarm Assembly,68,22,1.0,1.149,103,21,124,129,0,0,Base
2023-04-01,North,MAT-1002,Crossarm Assembly,78,11,1.08,1.161,112,22,134,129,5,2100,Base
2023-05-01,North,MAT-1002,Crossarm Assembly,81,26,1.13,1.173,142,28,170,240,0,0,Base
